Region,Product,Date,Sales
South,Prod P,3/24/2013,63824.12638
South,Prod B,9/22/2015,109753.6571
South,Prod M,1/9/2010,5705.872048
West,Prod T,5/17/2013,66609.18075
East,Prod D,5/16/2015,102529.9545
East,Prod S,9/5/2010,17352.79608
North,Prod G,11/2/2010,20173.55401
North,Prod C,5/20/2013,66673.91797
South,Prod C,5/29/2012,49506.53332
South,Prod I,12/9/2012,59161.75962
South,Prod M,12/5/2012,58680.12356
North,Prod L,1/27/2010,6265.279914
East,Prod L,11/18/2014,93565.83676
East,Prod N,8/9/2011,33497.26148
South,Prod S,5/27/2012,49365.85244
North,Prod A,10/21/2012,56893.28516
North,Prod K,11/1/2010,20017.76153
North,Prod P,12/28/2015,114631.2312
West,Prod R,5/28/2012,48781.47722
North,Prod J,7/1/2014,87228.2624
North,Prod K,5/12/2010,11611.53568
South,Prod J,1/22/2012,42450.01666
West,Prod E,10/14/2014,92277.02161
West,Prod H,11/5/2012,56929.10862
East,Prod N,7/28/2011,32882.00165
West,Prod O,4/19/2011,28911.12438
South,Prod H,11/20/2011,39235.35419
West,Prod R,4/19/2015,101726.6276
South,Prod F,6/3/2015,104419.9534
North,Prod E,9/25/2011,36853.06482
North,Prod I,10/9/2010,19231.30722
East,Prod B,6/8/2011,30901.1964
West,Prod M,12/30/2010,23467.42963
North,Prod D,2/20/2012,44100.56561
North,Prod R,8/1/2014,88756.9569
North,Prod K,8/7/2011,34124.31642
North,Prod L,4/14/2016,119588.6768
South,Prod A,9/8/2010,17677.46232
North,Prod M,9/17/2013,73094.84265
West,Prod C,3/27/2011,27180.58082
West,Prod T,3/29/2012,46206.54106
North,Prod T,7/29/2015,106795.5489
North,Prod D,1/3/2013,60150.91448
North,Prod S,7/26/2013,70299.38465
South,Prod I,2/8/2014,80224.9673
West,Prod P,2/19/2011,25552.65279
South,Prod J,7/26/2012,52106.48089
South,Prod J,12/12/2014,95405.70833
North,Prod O,9/17/2011,36280.02543
