Region,Product,Date,Sales
South,Prod E,11/10/2015,112399.6854
North,Prod R,12/5/2013,77029.82645
East,Prod E,10/30/2011,37728.69021
South,Prod Q,2/14/2013,62433.74354
North,Prod R,5/24/2010,12181.54
North,Prod J,4/27/2015,102460.8047
South,Prod P,2/12/2016,117101.4714
South,Prod J,6/2/2010,12956.1774
North,Prod P,11/12/2015,112122.5416
North,Prod B,6/4/2014,85706.22105
North,Prod G,12/26/2013,77712.46664
South,Prod R,5/3/2011,29768.62146
East,Prod T,5/3/2010,10507.75856
West,Prod S,1/22/2012,42256.38546
West,Prod G,12/19/2012,59202.06842
North,Prod N,10/24/2012,56184.39522
North,Prod F,9/15/2013,72815.4164
East,Prod T,8/3/2010,15135.30819
North,Prod R,11/1/2013,75514.11182
North,Prod T,1/25/2011,24352.74182
North,Prod H,8/14/2014,89338.36117
South,Prod N,1/5/2013,59978.81551
North,Prod R,7/28/2012,51803.54535
East,Prod I,2/7/2010,6093.692986
South,Prod H,7/5/2013,69770.8818
West,Prod R,3/23/2015,100590.8114
North,Prod N,7/18/2012,51497.24371
West,Prod H,11/18/2012,57534.28192
North,Prod M,5/6/2011,29541.93717
North,Prod M,2/2/2013,61564.10476
East,Prod I,3/18/2014,81108.34627
North,Prod F,6/11/2011,31133.96373
West,Prod T,12/24/2010,22621.99968
